Phylum,Species,SRA accession,"Total Size, Mb"
Arthropoda,Junonia coenia,SRR1145747,1185.49
Arthropoda,Leptuca spinicarpa,SRR1145751,1319.89
Arthropoda,Megacopta cribraria,SRR1145746,3380.44
Arthropoda,Mesocapnia arizonensis,SRR1145748,5823.84
Arthropoda,Minuca minax,SRR1145750,4771.04
Arthropoda,Paralithodes platypus,SRR1145749,2700.42
Arthropoda,Stictotarsus aequinoctialis,SRR1145745,1538.92
Chordata,Alca torda,SRR1145756,1996.57
Chordata,Ambystoma talpoideum,SRR1145754,2318.32
Chordata,Batagur trivittata,SRR1145767,1971.05
Chordata,Campylorhynchus brunneicapillus,SRR1145744,1781.67
Chordata,Ectophylla alba,SRR1145762,587.42
Chordata,Eurycea cirrigera,SRR1145755,1894.78
Chordata,Hydrobates castro,SRR1145760,76.1
Chordata,Lampropeltis getula,SRR1145765,2138.36
Chordata,Morus bassanus,SRR1145759,4474.81
Chordata,Onychomys leucogaster,SRR1145764,1126.94
Chordata,Pelecanus occidentalis,SRR1145758,1097.72
Chordata,Prosopium williamsoni,SRR1145753,801.89
Chordata,Ptychoramphus aleuticus,SRR1145757,876.54
Chordata,Rhinichthys osculus,SRR1145752,3547.95
Chordata,Sceloporus grammicus,SRR1145766,2098.8
Chordata,Tlacuatzin canescens,SRR1145763,1958.56
Chordata,Tursiops truncatus,SRR1145761,984.12
